Month,Borough,Monthly Miles,Monthly Road Call Count,Monthly MDBF
01/01/2018,Manhattan,1340348,394,3402
01/01/2018,Queens,4251132,664,6402
01/01/2018,Staten Island,2167001,102,21245
12/01/2017,Bronx,2167193,450,4816
12/01/2017,Brooklyn,3002257,409,7340
12/01/2017,Manhattan,1285039,345,3725
12/01/2017,Queens,4160343,492,8456
12/01/2017,Staten Island,2077574,101,20570
11/01/2017,Bronx,2184874,446,4899
11/01/2017,Brooklyn,2951920,443,6663
11/01/2017,Manhattan,1264879,300,4216
11/01/2017,Queens,4149436,486,8538
11/01/2017,Staten Island,2090255,90,23225
10/01/2017,Bronx,2337549,469,4984
10/01/2017,Brooklyn,3074159,441,6971
10/01/2017,Manhattan,1330776,328,4057
10/01/2017,Queens,4337404,566,7663
10/01/2017,Staten Island,2208429,100,22084
09/01/2017,Bronx,2232178,464,4811
09/01/2017,Brooklyn,2961177,461,6423
09/01/2017,Manhattan,1253608,332,3776
09/01/2017,Queens,4162339,539,7722
09/01/2017,Staten Island,2069359,89,23251
08/01/2017,Bronx,2327975,547,4256
08/01/2017,Brooklyn,3167032,440,7198
08/01/2017,Manhattan,1344613,360,3735
08/01/2017,Queens,4380047,690,6348
08/01/2017,Staten Island,2205958,112,19696
07/01/2017,Bronx,2252923,540,4172
07/01/2017,Brooklyn,3107212,521,5964
07/01/2017,Manhattan,1325019,362,3660
07/01/2017,Queens,4165930,655,6360
07/01/2017,Staten Island,2048734,112,18292
06/01/2017,Bronx,2208933,605,3651
06/01/2017,Brooklyn,3015972,532,5669
06/01/2017,Manhattan,1276301,363,3516
06/01/2017,Queens,4247501,674,6302
06/01/2017,Staten Island,2137281,100,21373
05/01/2017,Bronx,2304061,624,3692
05/01/2017,Brooklyn,3151921,453,6958
05/01/2017,Manhattan,1310936,444,2953
05/01/2017,Queens,4357510,653,6673
05/01/2017,Staten Island,2195883,108,20332
04/01/2017,Bronx,2150974,538,3998
04/01/2017,Brooklyn,2994072,435,6883
04/01/2017,Manhattan,1263269,335,3771
04/01/2017,Queens,4091305,590,6934
04/01/2017,Staten Island,2059797,91,22635
03/01/2017,Bronx,2280378,509,4480
03/01/2017,Brooklyn,3119909,456,6842
03/01/2017,Manhattan,1319315,378,3490
03/01/2017,Queens,4361652,578,7546
03/01/2017,Staten Island,2253272,103,21876
02/01/2017,Bronx,2005206,429,4674
02/01/2017,Brooklyn,2786437,366,7613
