month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2025-01-01,Brooklyn,LCL/LTD,B35,Off-Peak,419948.2,2.6493168,-0.18238905,0.6993025
2025-01-01,Brooklyn,LCL/LTD,B35,Peak,285896.44,2.545474,-0.8684811,0.7298486
2025-01-01,Brooklyn,LCL/LTD,B36,Off-Peak,189760.12,2.3100467,0.91862273,0.68017954
2025-01-01,Brooklyn,LCL/LTD,B36,Peak,137604.95,2.189549,0.6307781,0.72087437
2025-01-01,Brooklyn,LCL/LTD,B37,Off-Peak,27376.5,4.439909,1.3844514,0.60297287
2025-01-01,Brooklyn,LCL/LTD,B37,Peak,19819.8,4.953723,1.5627037,0.5788846
2025-01-01,Brooklyn,LCL/LTD,B38,Off-Peak,210020.58,2.285776,-0.28769022,0.7243222
2025-01-01,Brooklyn,LCL/LTD,B38,Peak,159958.17,2.0061266,-0.29551098,0.74086833
2025-01-01,Brooklyn,LCL/LTD,B39,Off-Peak,2326.9075,5.462871,0.50225294,0.6227721
2025-01-01,Brooklyn,LCL/LTD,B39,Peak,1130.2008,4.5157375,-0.4464709,0.72162503
2025-01-01,Brooklyn,LCL/LTD,B4,Off-Peak,83113.266,2.9790506,0.4361813,0.69413865
2025-01-01,Brooklyn,LCL/LTD,B4,Peak,68755.89,2.6870244,0.5016518,0.6846236
2025-01-01,Brooklyn,LCL/LTD,B41,Off-Peak,387762.38,2.7666876,-0.5312948,0.71374696
2025-01-01,Brooklyn,LCL/LTD,B41,Peak,233239.11,2.6347146,-0.64986444,0.72892505
2025-01-01,Brooklyn,LCL/LTD,B42,Off-Peak,84160.53,1.2230926,-0.3768784,0.826007
2025-01-01,Brooklyn,LCL/LTD,B42,Peak,60584.29,1.5484352,-0.14187516,0.81863844
2025-01-01,Brooklyn,LCL/LTD,B43,Off-Peak,118068.234,3.3478398,-0.085298054,0.6752542
2025-01-01,Brooklyn,LCL/LTD,B43,Peak,92769.945,2.6708467,0.188821,0.67571205
2025-01-01,Brooklyn,LCL/LTD,B44,Off-Peak,229972.75,2.7800367,-0.46463704,0.7100603
