month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2020-01-01,Brooklyn,LCL/LTD,B2,Off-Peak,28654.648,1.686815,0.06644873,0.85904485
2020-01-01,Brooklyn,LCL/LTD,B2,Peak,25517.262,1.1625825,0.46599314,0.83697087
2020-01-01,Brooklyn,LCL/LTD,B20,Off-Peak,92330.77,2.2483487,-0.13881353,0.7344501
2020-01-01,Brooklyn,LCL/LTD,B20,Peak,69380.44,2.2119048,0.49081874,0.6935618
2020-01-01,Brooklyn,LCL/LTD,B24,Off-Peak,34972.95,3.8423913,-0.07334023,0.7252057
2020-01-01,Brooklyn,LCL/LTD,B24,Peak,27690.592,2.7477446,0.17425644,0.74458903
2020-01-01,Brooklyn,LCL/LTD,B25,Off-Peak,152990.14,2.192246,-0.27412906,0.73854965
2020-01-01,Brooklyn,LCL/LTD,B25,Peak,94666.26,2.3295155,-0.9104713,0.7679647
2020-01-01,Brooklyn,LCL/LTD,B26,Off-Peak,125598.05,1.3808284,0.3352769,0.7702036
2020-01-01,Brooklyn,LCL/LTD,B26,Peak,96469.87,1.3141478,0.30707327,0.7610021
2020-01-01,Brooklyn,LCL/LTD,B3,Off-Peak,160083.3,1.219584,0.28891474,0.7783704
2020-01-01,Brooklyn,LCL/LTD,B3,Peak,120383.91,1.560485,0.3207761,0.7533515
2020-01-01,Brooklyn,LCL/LTD,B31,Off-Peak,31139.98,1.0588646,0.5190323,0.8853732
2020-01-01,Brooklyn,LCL/LTD,B31,Peak,31747.805,0.7702048,0.8027402,0.82990175
2020-01-01,Brooklyn,LCL/LTD,B32,Off-Peak,10591.195,4.2758503,0.1986859,0.70728785
2020-01-01,Brooklyn,LCL/LTD,B32,Peak,11821.559,4.2959256,0.41538504,0.6629131
2020-01-01,Brooklyn,LCL/LTD,B35,Off-Peak,415738.6,2.183905,0.42705196,0.6989251
2020-01-01,Brooklyn,LCL/LTD,B35,Peak,296747.25,2.1402218,0.15413065,0.7105149
2020-01-01,Brooklyn,LCL/LTD,B36,Off-Peak,172431.72,1.5251827,0.7248991,0.74830836
2020-01-01,Brooklyn,LCL/LTD,B36,Peak,133100.48,1.1896725,0.6402031,0.788178
2020-01-01,Brooklyn,LCL/LTD,B37,Off-Peak,34481.77,3.3044975,1.4008311,0.6459939
2020-01-01,Brooklyn,LCL/LTD,B37,Peak,25250.744,3.0606434,1.7351708,0.613032
2020-01-01,Brooklyn,LCL/LTD,B38,Off-Peak,249913.66,1.92692,-0.4425059,0.7672382
2020-01-01,Brooklyn,LCL/LTD,B38,Peak,196616.44,1.9071149,-0.11898814,0.752759
2020-01-01,Brooklyn,LCL/LTD,B39,Off-Peak,2570.5715,5.3059616,0.97994334,0.63343567
2020-01-01,Brooklyn,LCL/LTD,B39,Peak,2038.3375,6.2952952,0.35934934,0.5933942
2020-01-01,Brooklyn,LCL/LTD,B4,Off-Peak,87202.37,2.2281494,0.47798795,0.75959927
2020-01-01,Brooklyn,LCL/LTD,B4,Peak,78268.12,2.0108056,0.84747964,0.718692
2020-01-01,Brooklyn,LCL/LTD,B41,Off-Peak,386195.28,2.335114,-0.29689482,0.73142743
2020-01-01,Brooklyn,LCL/LTD,B41,Peak,237586.95,2.3122253,-0.05160465,0.72114897
2020-01-01,Brooklyn,LCL/LTD,B42,Off-Peak,14839.801,1.2720971,-0.43031767,0.83905804
2020-01-01,Brooklyn,LCL/LTD,B42,Peak,11472.175,1.0048945,-0.29580805,0.8742173
2020-01-01,Brooklyn,LCL/LTD,B43,Off-Peak,138938.53,1.8440043,0.47016874,0.7463937
2020-01-01,Brooklyn,LCL/LTD,B43,Peak,110367.266,1.6405662,0.90499234,0.7126459
2020-01-01,Brooklyn,LCL/LTD,B44,Off-Peak,251192.9,1.8089184,-0.03323746,0.74920964
2020-01-01,Brooklyn,LCL/LTD,B44,Peak,159672.42,2.0380564,0.35018167,0.71004003
2020-01-01,Brooklyn,LCL/LTD,B44+,Off-Peak,623.9223,0.9363545,-0.3098548,0.85008085
2020-01-01,Brooklyn,SBS,B44+,Off-Peak,213325.92,1.87454,0.063023046,0.7499202
2020-01-01,Brooklyn,SBS,B44+,Peak,184052.56,1.705038,0.45119846,0.7500827
2020-01-01,Brooklyn,LCL/LTD,B44+,Peak,5.3328,1.884375,-2.446875,1
2020-01-01,Brooklyn,LCL/LTD,B45,Off-Peak,78730.95,2.120934,0.5822195,0.74175155
2020-01-01,Brooklyn,LCL/LTD,B45,Peak,54775.97,2.150301,1.227824,0.6712939
2020-01-01,Brooklyn,LCL/LTD,B46,Off-Peak,238347.95,2.0067444,-0.16110148,0.76136106
2020-01-01,Brooklyn,LCL/LTD,B46,Peak,139047.67,2.3214474,0.25876495,0.73923457
2020-01-01,Brooklyn,LCL/LTD,B46+,Off-Peak,1333.1506,1.264061,2.3451307,0.6877737
2020-01-01,Brooklyn,SBS,B46+,Off-Peak,281293.6,1.3017788,0.33831763,0.7975842
2020-01-01,Brooklyn,SBS,B46+,Peak,225721.86,1.2575685,0.4924873,0.80378187
2020-01-01,Brooklyn,LCL/LTD,B47,Off-Peak,145826.69,2.3242033,1.651209,0.6506671
2020-01-01,Brooklyn,LCL/LTD,B47,Peak,104023.414,2.330533,1.9619828,0.6123152
2020-01-01,Brooklyn,LCL/LTD,B48,Off-Peak,50460.938,2.9626942,0.7633752,0.72025603
2020-01-01,Brooklyn,LCL/LTD,B48,Peak,42323.5,2.5301816,1.1747528,0.6827632
2020-01-01,Brooklyn,LCL/LTD,B49,Off-Peak,181396.38,1.7861148,0.27047595,0.7414594
2020-01-01,Brooklyn,LCL/LTD,B49,Peak,118051.83,2.1164782,0.38538405,0.7071334
2020-01-01,Brooklyn,LCL/LTD,B52,Off-Peak,158848.38,1.6836995,0.3870523,0.7541079
2020-01-01,Brooklyn,LCL/LTD,B52,Peak,115210.52,1.9583893,0.69151783,0.7154534
2020-01-01,Brooklyn,LCL/LTD,B54,Off-Peak,134514.78,1.3904532,0.13808881,0.7638504
2020-01-01,Brooklyn,LCL/LTD,B54,Peak,106892.836,1.6729034,0.8422314,0.7087505
2020-01-01,Brooklyn,LCL/LTD,B57,Off-Peak,108076.66,3.1761768,0.48597926,0.68064
2020-01-01,Brooklyn,LCL/LTD,B57,Peak,77190.92,2.5023139,0.82775533,0.6709714
2020-01-01,Brooklyn,LCL/LTD,B6,Off-Peak,591329.44,1.7406923,0.30761376,0.7479313
2020-01-01,Brooklyn,LCL/LTD,B6,Peak,406045,1.969254,0.156566,0.7442654
2020-01-01,Brooklyn,LCL/LTD,B60,Off-Peak,137373.34,2.8188696,0.58359104,0.68911314
2020-01-01,Brooklyn,LCL/LTD,B60,Peak,100385.69,2.2636147,0.6022282,0.6855073
2020-01-01,Brooklyn,LCL/LTD,B61,Off-Peak,105710.44,1.615616,-0.14857595,0.77724093
2020-01-01,Brooklyn,LCL/LTD,B61,Peak,84520.88,1.1589788,-0.29520065,0.8030151
2020-01-01,Brooklyn,LCL/LTD,B62,Off-Peak,93522.234,2.991742,0.54972607,0.68919957
2020-01-01,Brooklyn,LCL/LTD,B62,Peak,77385.36,2.2121384,0.80112064,0.68607926
2020-01-01,Brooklyn,LCL/LTD,B63,Off-Peak,178562.83,1.2602603,0.06450424,0.802046
2020-01-01,Brooklyn,LCL/LTD,B63,Peak,116520.414,1.4290121,0.45061618,0.7593713
2020-01-01,Brooklyn,LCL/LTD,B64,Off-Peak,81938.65,1.8643548,0.4710212,0.7765548
2020-01-01,Brooklyn,LCL/LTD,B64,Peak,64493.92,2.3825092,0.5880276,0.69619894
2020-01-01,Brooklyn,LCL/LTD,B65,Off-Peak,51026.89,1.9614499,0.11042706,0.7662532
2020-01-01,Brooklyn,LCL/LTD,B65,Peak,38977.17,1.9344653,0.24889396,0.7351255
2020-01-01,Brooklyn,LCL/LTD,B67,Off-Peak,75206.47,2.3782642,0.6137491,0.73093385
2020-01-01,Brooklyn,LCL/LTD,B67,Peak,74458.76,1.6091821,0.49053377,0.75900555
2020-01-01,Brooklyn,LCL/LTD,B68,Off-Peak,203121.28,2.3473542,1.7648853,0.62697124
2020-01-01,Brooklyn,LCL/LTD,B68,Peak,139901.02,2.7936397,1.3939013,0.6277744
2020-01-01,Brooklyn,LCL/LTD,B69,Off-Peak,57988.395,2.30513,0.5337877,0.7442608
2020-01-01,Brooklyn,LCL/LTD,B69,Peak,64571.273,1.9080185,0.23296964,0.74963504
2020-01-01,Brooklyn,LCL/LTD,B7,Off-Peak,85673.555,2.7386434,0.5729866,0.7137805
2020-01-01,Brooklyn,LCL/LTD,B7,Peak,76258.336,2.4068494,0.61262286,0.69123477
