month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Bronx,1,LCL/LTD,BX5,Off-Peak,1447,13071.951,9.032726
2025-01-01,Bronx,1,LCL/LTD,BX5,Peak,908,7188.226,7.9123707
2025-01-01,Bronx,2,LCL/LTD,BX5,Off-Peak,589,6090.4487,10.329394
2025-01-01,Bronx,2,LCL/LTD,BX5,Peak,227,2259.8809,9.953242
2025-01-01,Bronx,1,LCL/LTD,BX6,Off-Peak,2476,18242.826,7.365176
2025-01-01,Bronx,1,LCL/LTD,BX6,Peak,1053,6617.27,6.2792873
2025-01-01,Bronx,2,LCL/LTD,BX6,Off-Peak,733,5944.806,8.1045885
2025-01-01,Bronx,2,LCL/LTD,BX6,Peak,279,2128.899,7.609363
2025-01-01,Bronx,1,SBS,BX6+,Off-Peak,1837,13906.506,7.567073
2025-01-01,Bronx,1,SBS,BX6+,Peak,978,6845.132,6.9938703
2025-01-01,Bronx,2,SBS,BX6+,Off-Peak,520,4523.346,8.68596
2025-01-01,Bronx,2,SBS,BX6+,Peak,255,2211.888,8.666782
2025-01-01,Bronx,1,LCL/LTD,BX7,Off-Peak,2673,19318.512,7.2253027
2025-01-01,Bronx,1,LCL/LTD,BX7,Peak,1420,9386.845,6.606586
2025-01-01,Bronx,2,LCL/LTD,BX7,Off-Peak,796,6251.848,7.8530993
2025-01-01,Bronx,2,LCL/LTD,BX7,Peak,332,2486.707,7.483563
2025-01-01,Bronx,1,LCL/LTD,BX8,Off-Peak,1901,16103.907,8.470569
2025-01-01,Bronx,1,LCL/LTD,BX8,Peak,1188,9661.924,8.127011
2025-01-01,Bronx,2,LCL/LTD,BX8,Off-Peak,343,3206.372,9.329181
2025-01-01,Bronx,2,LCL/LTD,BX8,Peak,166,1551.269,9.318983
2025-01-01,Bronx,1,LCL/LTD,BX9,Off-Peak,4195,28136.432,6.7069907
2025-01-01,Bronx,1,LCL/LTD,BX9,Peak,2048,12421.607,6.062937
2025-01-01,Bronx,2,LCL/LTD,BX9,Off-Peak,1149,8096.994,7.0424294
2025-01-01,Bronx,2,LCL/LTD,BX9,Peak,475,3166.558,6.6543202
2025-01-01,Bronx,1,EXP,BXM1,Off-Peak,1355,16198.872,11.94915
2025-01-01,Bronx,1,EXP,BXM1,Peak,885,9538.241,10.773951
2025-01-01,Bronx,2,EXP,BXM1,Off-Peak,229,3117.819,13.556931
2025-01-01,Bronx,2,EXP,BXM1,Peak,100,1344.26,13.410267
2025-01-01,Bronx,1,EXP,BXM10,Off-Peak,1239,13851.833,11.173005
2025-01-01,Bronx,1,EXP,BXM10,Peak,962,9659.47,10.031615
2025-01-01,Bronx,2,EXP,BXM10,Off-Peak,243,3204.74,13.16845
2025-01-01,Bronx,2,EXP,BXM10,Peak,102,1318.595,12.846099
2025-01-01,Bronx,1,EXP,BXM11,Off-Peak,1098,13218.879,12.031647
2025-01-01,Bronx,1,EXP,BXM11,Peak,772,8423.929,10.908343
2025-01-01,Bronx,2,EXP,BXM11,Off-Peak,214,2874.308,13.370274
2025-01-01,Bronx,2,EXP,BXM11,Peak,91,1173.95,12.883482
2025-01-01,Bronx,1,EXP,BXM18,Off-Peak,115,1421.8779,12.357112
2025-01-01,Bronx,1,EXP,BXM18,Peak,341,3545.119,10.389811
2025-01-01,Bronx,2,EXP,BXM18,Off-Peak,2,35.098,13.878822
2025-01-01,Bronx,2,EXP,BXM18,Peak,4,52.638,13.033689
